participant_id,date,total_sleep_records,total_minutes_asleep,total_time_in_bed,sleep_efficiency,sleep_hours
2347167796,2016-04-29,1,411,473,86.89,6.85
3977333714,2016-04-12,1,274,469,58.42,4.57
3977333714,2016-04-13,2,295,456,64.69,4.92
3977333714,2016-04-14,1,291,397,73.3,4.85
3977333714,2016-04-15,1,424,556,76.26,7.07
3977333714,2016-04-16,1,283,510,55.49,4.72
3977333714,2016-04-17,1,381,566,67.31,6.35
3977333714,2016-04-18,2,412,522,78.93,6.87
3977333714,2016-04-19,1,219,395,55.44,3.65
3977333714,2016-04-20,2,152,305,49.84,2.53
3977333714,2016-04-21,1,332,512,64.84,5.53
3977333714,2016-04-22,1,355,476,74.58,5.92
3977333714,2016-04-23,1,235,372,63.17,3.92
3977333714,2016-04-24,1,310,526,58.94,5.17
3977333714,2016-04-25,1,262,467,56.1,4.37
3977333714,2016-04-26,1,250,371,67.39,4.17
3977333714,2016-04-27,1,349,540,64.63,5.82
3977333714,2016-04-28,1,261,423,61.7,4.35
3977333714,2016-04-29,1,333,478,69.67,5.55
3977333714,2016-04-30,1,237,382,62.04,3.95
3977333714,2016-05-01,1,383,626,61.18,6.38
3977333714,2016-05-02,1,230,384,59.9,3.83
3977333714,2016-05-03,1,292,500,58.4,4.87
3977333714,2016-05-04,1,213,336,63.39,3.55
3977333714,2016-05-05,1,318,480,66.25,5.3
3977333714,2016-05-06,1,323,512,63.09,5.38
3977333714,2016-05-07,1,237,443,53.5,3.95
3977333714,2016-05-08,2,259,456,56.8,4.32
3977333714,2016-05-10,1,312,452,69.03,5.2
4020332650,2016-04-12,1,501,541,92.61,8.35
4020332650,2016-04-16,1,77,77,100.0,1.28
4020332650,2016-05-03,1,322,332,96.99,5.37
4020332650,2016-05-04,1,478,536,89.18,7.97
4020332650,2016-05-05,1,226,248,91.13,3.77
4020332650,2016-05-06,1,385,408,94.36,6.42
4020332650,2016-05-08,1,364,402,90.55,6.07
4020332650,2016-05-10,1,442,494,89.47,7.37
4319703577,2016-04-14,1,535,557,96.05,8.92
4319703577,2016-04-15,1,465,491,94.7,7.75
4319703577,2016-04-16,1,506,522,96.93,8.43
4319703577,2016-04-18,1,515,551,93.47,8.58
4319703577,2016-04-19,2,461,498,92.57,7.68
4319703577,2016-04-20,1,523,543,96.32,8.72
4319703577,2016-04-21,1,59,65,90.77,0.98
4319703577,2016-04-22,1,533,550,96.91,8.88
4319703577,2016-04-23,1,692,722,95.84,11.53
4319703577,2016-04-24,1,467,501,93.21,7.78
4319703577,2016-04-25,1,488,506,96.44,8.13
4319703577,2016-04-26,1,505,516,97.87,8.42
4319703577,2016-04-27,1,286,307,93.16,4.77
4319703577,2016-04-28,1,497,522,95.21,8.28
4319703577,2016-04-29,1,523,546,95.79,8.72
4319703577,2016-04-30,1,490,516,94.96,8.17
4319703577,2016-05-01,1,484,500,96.8,8.07
4319703577,2016-05-02,1,478,506,94.47,7.97
4319703577,2016-05-03,1,474,512,92.58,7.9
4319703577,2016-05-06,1,450,491,91.65,7.5
4319703577,2016-05-07,1,507,530,95.66,8.45
4319703577,2016-05-08,1,602,638,94.36,10.03
4319703577,2016-05-09,1,535,565,94.69,8.92
4319703577,2016-05-10,1,487,517,94.2,8.12
4319703577,2016-05-11,1,529,558,94.8,8.82
4319703577,2016-05-12,1,302,321,94.08,5.03
4388161847,2016-04-15,1,499,526,94.87,8.32
4388161847,2016-04-16,2,426,448,95.09,7.1
4388161847,2016-04-17,2,619,641,96.57,10.32
4388161847,2016-04-18,1,99,104,95.19,1.65
4388161847,2016-04-19,1,329,338,97.34,5.48
4388161847,2016-04-20,1,421,451,93.35,7.02
4388161847,2016-04-21,1,442,458,96.51,7.37
4388161847,2016-04-22,1,82,85,96.47,1.37
4388161847,2016-04-23,1,478,501,95.41,7.97
4388161847,2016-04-24,3,552,595,92.77,9.2
4388161847,2016-04-26,1,319,346,92.2,5.32
4388161847,2016-04-27,1,439,500,87.8,7.32
4388161847,2016-04-28,1,428,458,93.45,7.13
4388161847,2016-04-30,2,409,430,95.12,6.82
4388161847,2016-05-01,1,547,597,91.62,9.12
4388161847,2016-05-02,2,368,376,97.87,6.13
4388161847,2016-05-04,1,390,414,94.2,6.5
4388161847,2016-05-05,1,471,495,95.15,7.85
4388161847,2016-05-07,1,472,496,95.16,7.87
4388161847,2016-05-08,2,529,541,97.78,8.82
4388161847,2016-05-09,1,62,65,95.38,1.03
4388161847,2016-05-10,1,354,375,94.4,5.9
4388161847,2016-05-11,1,469,494,94.94,7.82
4445114986,2016-04-12,2,429,457,93.87,7.15
4445114986,2016-04-13,2,370,406,91.13,6.17
4445114986,2016-04-14,1,441,492,89.63,7.35
4445114986,2016-04-15,2,337,379,88.92,5.62
4445114986,2016-04-16,1,462,499,92.59,7.7
4445114986,2016-04-17,1,98,107,91.59,1.63
4445114986,2016-04-19,2,388,424,91.51,6.47
4445114986,2016-04-20,1,439,462,95.02,7.32
4445114986,2016-04-21,1,436,469,92.96,7.27
4445114986,2016-04-22,1,388,417,93.05,6.47
4445114986,2016-04-25,1,328,345,95.07,5.47
4445114986,2016-04-26,2,353,391,90.28,5.88
4445114986,2016-04-27,1,332,374,88.77,5.53
4445114986,2016-04-28,1,419,442,94.8,6.98
4445114986,2016-04-29,1,106,108,98.15,1.77
4445114986,2016-04-30,1,322,353,91.22,5.37
4445114986,2016-05-01,2,439,459,95.64,7.32
4445114986,2016-05-02,1,502,542,92.62,8.37
4445114986,2016-05-03,2,417,450,92.67,6.95
4445114986,2016-05-04,2,337,363,92.84,5.62
4445114986,2016-05-05,2,462,513,90.06,7.7
4445114986,2016-05-06,2,374,402,93.03,6.23
4445114986,2016-05-07,2,401,436,91.97,6.68
4445114986,2016-05-08,1,361,391,92.33,6.02
4445114986,2016-05-09,1,457,533,85.74,7.62
4445114986,2016-05-10,1,405,426,95.07,6.75
4445114986,2016-05-11,1,499,530,94.15,8.32
4445114986,2016-05-12,1,483,501,96.41,8.05
4558609924,2016-04-21,1,126,137,91.97,2.1
4558609924,2016-04-26,1,103,121,85.12,1.72
4558609924,2016-04-29,1,171,179,95.53,2.85
4558609924,2016-05-01,1,115,129,89.15,1.92
4558609924,2016-05-08,1,123,134,91.79,2.05
4702921684,2016-04-12,1,425,439,96.81,7.08
4702921684,2016-04-13,2,400,430,93.02,6.67
4702921684,2016-04-14,1,384,415,92.53,6.4
4702921684,2016-04-15,1,253,257,98.44,4.22
4702921684,2016-04-16,2,382,406,94.09,6.37
4702921684,2016-04-17,1,591,612,96.57,9.85
4702921684,2016-04-18,1,293,312,93.91,4.88
4702921684,2016-04-19,1,457,487,93.84,7.62
4702921684,2016-04-20,1,454,468,97.01,7.57
4702921684,2016-04-21,1,425,434,97.93,7.08
4702921684,2016-04-23,1,465,475,97.89,7.75
4702921684,2016-04-24,1,480,506,94.86,8.0
4702921684,2016-04-25,1,370,380,97.37,6.17
4702921684,2016-04-26,1,421,429,98.14,7.02
4702921684,2016-04-27,1,432,449,96.21,7.2
4702921684,2016-04-28,1,442,461,95.88,7.37
4702921684,2016-04-29,1,433,447,96.87,7.22
4702921684,2016-04-30,1,479,501,95.61,7.98
4702921684,2016-05-03,1,327,373,87.67,5.45
4702921684,2016-05-04,1,412,434,94.93,6.87
4702921684,2016-05-05,1,414,428,96.73,6.9
4702921684,2016-05-06,1,404,449,89.98,6.73
4702921684,2016-05-07,1,520,543,95.76,8.67
4702921684,2016-05-09,1,435,458,94.98,7.25
4702921684,2016-05-10,1,416,431,96.52,6.93
4702921684,2016-05-11,1,354,366,96.72,5.9
4702921684,2016-05-12,1,404,442,91.4,6.73
5553957443,2016-04-12,1,441,464,95.04,7.35
5553957443,2016-04-13,2,455,488,93.24,7.58
5553957443,2016-04-14,1,357,418,85.41,5.95
5553957443,2016-04-15,1,377,409,92.18,6.28
5553957443,2016-04-16,2,651,686,94.9,10.85
5553957443,2016-04-17,1,350,402,87.06,5.83
5553957443,2016-04-18,2,520,541,96.12,8.67
5553957443,2016-04-19,1,357,410,87.07,5.95
5553957443,2016-04-20,1,658,678,97.05,10.97
5553957443,2016-04-21,1,399,431,92.58,6.65
5553957443,2016-04-22,1,322,353,91.22,5.37
5553957443,2016-04-23,2,631,725,87.03,10.52
5553957443,2016-04-24,2,553,640,86.41,9.22
5553957443,2016-04-25,1,433,468,92.52,7.22
5553957443,2016-04-26,1,412,453,90.95,6.87
5553957443,2016-04-27,1,347,391,88.75,5.78
5553957443,2016-04-28,1,421,457,92.12,7.02
5553957443,2016-04-29,1,450,495,90.91,7.5
5553957443,2016-04-30,2,775,843,91.93,12.92
5553957443,2016-05-01,2,622,686,90.67,10.37
5553957443,2016-05-02,1,409,471,86.84,6.82
5553957443,2016-05-03,1,380,429,88.58,6.33
5553957443,2016-05-04,1,447,470,95.11,7.45
5553957443,2016-05-05,1,419,464,90.3,6.98
5553957443,2016-05-06,1,400,434,92.17,6.67
5553957443,2016-05-07,1,442,470,94.04,7.37
5553957443,2016-05-08,1,568,608,93.42,9.47
5553957443,2016-05-09,1,453,494,91.7,7.55
5553957443,2016-05-10,1,418,443,94.36,6.97
5553957443,2016-05-11,1,463,486,95.27,7.72
5553957443,2016-05-12,1,438,475,92.21,7.3
5577150313,2016-04-12,1,419,438,95.66,6.98
5577150313,2016-04-13,1,432,458,94.32,7.2
5577150313,2016-04-14,1,477,497,95.98,7.95
5577150313,2016-04-15,1,392,413,94.92,6.53
5577150313,2016-04-16,1,406,445,91.24,6.77
5577150313,2016-04-17,1,549,583,94.17,9.15
5577150313,2016-04-18,1,527,553,95.3,8.78
5577150313,2016-04-19,1,449,465,96.56,7.48
5577150313,2016-04-20,1,447,480,93.12,7.45
5577150313,2016-04-21,1,414,437,94.74,6.9
5577150313,2016-04-22,1,338,366,92.35,5.63
5577150313,2016-04-23,1,384,402,95.52,6.4
5577150313,2016-04-24,1,543,615,88.29,9.05
5577150313,2016-04-25,1,421,461,91.32,7.02
5577150313,2016-04-26,1,354,377,93.9,5.9
5577150313,2016-04-27,1,424,452,93.81,7.07
5577150313,2016-04-28,1,361,372,97.04,6.02
5577150313,2016-04-29,1,459,485,94.64,7.65
5577150313,2016-04-30,1,412,433,95.15,6.87
5577150313,2016-05-01,1,379,398,95.23,6.32
5577150313,2016-05-02,2,525,553,94.94,8.75
5577150313,2016-05-03,1,508,543,93.55,8.47
5577150313,2016-05-04,1,603,634,95.11,10.05
5577150313,2016-05-05,1,74,78,94.87,1.23
5577150313,2016-05-10,1,504,562,89.68,8.4
5577150313,2016-05-11,1,431,476,90.55,7.18
6117666160,2016-04-16,1,380,398,95.48,6.33
6117666160,2016-04-17,2,336,350,96.0,5.6
6117666160,2016-04-18,2,493,510,96.67,8.22
6117666160,2016-04-19,1,465,492,94.51,7.75
6117666160,2016-04-20,1,474,502,94.42,7.9
6117666160,2016-04-21,1,508,550,92.36,8.47
6117666160,2016-04-22,1,480,546,87.91,8.0
6117666160,2016-04-23,1,492,539,91.28,8.2
6117666160,2016-04-24,1,353,367,96.19,5.88
6117666160,2016-04-27,1,542,557,97.31,9.03
6117666160,2016-04-28,1,393,416,94.47,6.55
6117666160,2016-04-29,1,600,636,94.34,10.0
6117666160,2016-05-01,1,507,575,88.17,8.45
6117666160,2016-05-05,1,392,415,94.46,6.53
6117666160,2016-05-06,2,658,698,94.27,10.97
6117666160,2016-05-07,2,498,507,98.22,8.3
6117666160,2016-05-08,1,555,603,92.04,9.25
6117666160,2016-05-09,1,492,522,94.25,8.2
6775888955,2016-04-13,1,235,260,90.38,3.92
6775888955,2016-04-14,1,423,441,95.92,7.05
6775888955,2016-04-15,1,391,406,96.31,6.52
6962181067,2016-04-12,1,366,387,94.57,6.1
6962181067,2016-04-13,3,630,679,92.78,10.5
6962181067,2016-04-14,2,508,535,94.95,8.47
6962181067,2016-04-15,1,370,386,95.85,6.17
6962181067,2016-04-16,1,357,366,97.54,5.95
6962181067,2016-04-17,1,427,446,95.74,7.12
6962181067,2016-04-18,1,442,458,96.51,7.37
6962181067,2016-04-19,1,476,535,88.97,7.93
6962181067,2016-04-20,1,418,424,98.58,6.97
6962181067,2016-04-21,1,451,457,98.69,7.52
6962181067,2016-04-22,1,425,435,97.7,7.08
6962181067,2016-04-23,1,528,546,96.7,8.8
6962181067,2016-04-24,1,511,514,99.42,8.52
6962181067,2016-04-25,1,400,415,96.39,6.67
6962181067,2016-04-26,1,441,446,98.88,7.35
6962181067,2016-04-27,1,455,467,97.43,7.58
6962181067,2016-04-28,1,440,453,97.13,7.33
6962181067,2016-04-29,1,433,447,96.87,7.22
6962181067,2016-04-30,1,422,424,99.53,7.03
6962181067,2016-05-01,1,411,426,96.48,6.85
6962181067,2016-05-02,1,466,482,96.68,7.77
6962181067,2016-05-03,1,394,418,94.26,6.57
6962181067,2016-05-04,1,442,455,97.14,7.37
6962181067,2016-05-05,1,467,491,95.11,7.78
6962181067,2016-05-06,1,443,462,95.89,7.38
6962181067,2016-05-07,1,298,334,89.22,4.97
6962181067,2016-05-08,1,541,569,95.08,9.02
6962181067,2016-05-09,1,489,497,98.39,8.15
6962181067,2016-05-10,1,469,481,97.51,7.82
6962181067,2016-05-11,1,452,480,94.17,7.53
6962181067,2016-05-12,1,516,535,96.45,8.6
7007744171,2016-04-16,1,79,82,96.34,1.32
7007744171,2016-05-01,1,58,61,95.08,0.97
7086361926,2016-04-12,1,514,525,97.9,8.57
7086361926,2016-04-13,1,451,465,96.99,7.52
7086361926,2016-04-14,1,472,476,99.16,7.87
7086361926,2016-04-15,1,377,386,97.67,6.28
7086361926,2016-04-19,1,472,483,97.72,7.87
7086361926,2016-04-20,1,492,502,98.01,8.2
7086361926,2016-04-21,1,390,411,94.89,6.5
7086361926,2016-04-22,1,428,448,95.54,7.13
7086361926,2016-04-24,1,681,704,96.73,11.35
7086361926,2016-04-25,1,446,447,99.78,7.43
7086361926,2016-04-26,1,485,500,97.0,8.08
7086361926,2016-04-27,1,469,479,97.91,7.82
7086361926,2016-04-28,1,354,367,96.46,5.9
7086361926,2016-04-30,1,485,489,99.18,8.08
7086361926,2016-05-01,1,388,407,95.33,6.47
7086361926,2016-05-02,1,440,459,95.86,7.33
7086361926,2016-05-03,1,456,461,98.92,7.6
7086361926,2016-05-04,1,420,436,96.33,7.0
7086361926,2016-05-06,1,322,333,96.7,5.37
7086361926,2016-05-07,1,530,548,96.72,8.83
7086361926,2016-05-08,1,481,510,94.31,8.02
7086361926,2016-05-09,1,427,438,97.49,7.12
7086361926,2016-05-11,1,451,463,97.41,7.52
7086361926,2016-05-12,1,444,457,97.16,7.4
8053475328,2016-04-20,1,486,493,98.58,8.1
8053475328,2016-04-23,1,331,337,98.22,5.52
8053475328,2016-05-07,1,74,75,98.67,1.23
8378563200,2016-04-12,1,338,356,94.94,5.63
8378563200,2016-04-13,2,447,487,91.79,7.45
8378563200,2016-04-14,1,424,455,93.19,7.07
8378563200,2016-04-15,1,513,533,96.25,8.55
8378563200,2016-04-16,2,611,689,88.68,10.18
8378563200,2016-04-17,2,525,591,88.83,8.75
8378563200,2016-04-18,1,398,451,88.25,6.63
8378563200,2016-04-19,1,387,421,91.92,6.45
8378563200,2016-04-20,1,381,409,93.15,6.35
8378563200,2016-04-21,1,396,417,94.96,6.6
8378563200,2016-04-22,1,441,469,94.03,7.35
8378563200,2016-04-23,1,565,591,95.6,9.42
8378563200,2016-04-24,1,458,492,93.09,7.63
8378563200,2016-04-25,1,388,402,96.52,6.47
8378563200,2016-04-26,1,550,584,94.18,9.17
8378563200,2016-04-27,1,531,600,88.5,8.85
8378563200,2016-04-28,1,506,556,91.01,8.43
8378563200,2016-04-29,1,527,562,93.77,8.78
8378563200,2016-04-30,1,468,555,84.32,7.8
8378563200,2016-05-01,1,475,539,88.13,7.92
8378563200,2016-05-02,1,351,385,91.17,5.85
8378563200,2016-05-03,1,405,429,94.41,6.75
8378563200,2016-05-04,1,441,477,92.45,7.35
8378563200,2016-05-05,1,381,417,91.37,6.35
8378563200,2016-05-06,1,323,355,90.99,5.38
8378563200,2016-05-07,2,459,513,89.47,7.65
8378563200,2016-05-08,1,545,606,89.93,9.08
8378563200,2016-05-09,1,359,399,89.97,5.98
8378563200,2016-05-10,1,342,391,87.47,5.7
8378563200,2016-05-11,1,368,387,95.09,6.13
8378563200,2016-05-12,1,496,546,90.84,8.27
8792009665,2016-04-12,1,458,493,92.9,7.63
8792009665,2016-04-13,1,531,552,96.2,8.85
8792009665,2016-04-14,1,486,503,96.62,8.1
8792009665,2016-04-15,1,363,377,96.29,6.05
8792009665,2016-04-20,1,528,547,96.53,8.8
8792009665,2016-04-22,1,391,407,96.07,6.52
8792009665,2016-04-23,1,339,360,94.17,5.65
8792009665,2016-04-27,1,423,428,98.83,7.05
8792009665,2016-04-28,1,402,416,96.63,6.7
8792009665,2016-04-29,1,398,406,98.03,6.63
8792009665,2016-04-30,1,343,360,95.28,5.72
8792009665,2016-05-01,1,503,527,95.45,8.38
8792009665,2016-05-02,1,415,423,98.11,6.92
8792009665,2016-05-03,1,516,545,94.68,8.6
8792009665,2016-05-04,1,439,463,94.82,7.32
